"","YEAR","PRIMARY_SAMPLE_UNIT","lat","lon"
"234",2024,"1259",24.46163,-81.75029
"235",2024,"1260",24.50106,-81.56212
"236",2024,"1261",24.46599,-81.78592
"237",2024,"1262",24.66183,-80.98244
"238",2024,"1263",24.57027,-81.29242
"239",2024,"1264",24.7277,-80.80288
"240",2024,"1266",24.7306,-80.79842
"241",2024,"1267",24.58652,-81.23231
"242",2024,"1268",24.86054,-80.58731
"243",2024,"1269",24.8393,-80.62691
"244",2024,"1271",24.8851,-80.55144
"245",2024,"1272",24.95809,-80.44781
"246",2024,"1273",24.8674,-80.57699
"247",2024,"1274",25.25847,-80.18289
"248",2024,"1275",25.00566,-80.3761
"249",2024,"1276",25.00768,-80.37259
"250",2024,"1277",25.13612,-80.25851
"251",2024,"1278",25.02253,-80.35717
"252",2024,"1279",25.27596,-80.17219
"253",2024,"1280",25.17331,-80.22882
"254",2024,"1281",25.22738,-80.20068
"255",2024,"1282",25.16462,-80.23611
"256",2024,"1283",25.00451,-80.37646
"257",2024,"1284",25.66115,-80.08841
"258",2024,"1285",25.3973,-80.12809
"259",2024,"1286",25.58778,-80.09065
"260",2024,"1287",25.69383,-80.08778
"261",2024,"1288",25.48626,-80.10464
"262",2024,"1289",25.63886,-80.0885
"263",2024,"1290",24.61551,-81.38896
"264",2024,"1291",24.61588,-81.39336
"265",2024,"1292",24.55295,-81.69151
"266",2024,"1293",24.5521,-81.693
"267",2024,"1296",24.93746,-80.54674
"268",2024,"1297",24.93484,-80.54902
"269",2024,"1298",24.90413,-80.615
"270",2024,"1300",24.56673,-81.39084
"271",2024,"1301",24.56665,-81.39101
"272",2024,"1302",24.48816,-81.72262
"273",2024,"1303",24.493,-81.71361
"274",2024,"1304",25.20877,-80.21963
"275",2024,"1305",25.20891,-80.21903
"276",2024,"1306",25.12484,-80.29844
"277",2024,"1307",25.12191,-80.29804
"278",2024,"1308",25.11096,-80.30402
"279",2024,"1309",25.11428,-80.30344
"280",2024,"1310",24.5464,-81.41086
"281",2024,"1311",24.55129,-81.40752
"282",2024,"1312",24.49302,-81.66352
"283",2024,"1313",24.49436,-81.6585
"284",2024,"1314",24.48253,-81.70039
"285",2024,"1315",24.48296,-81.70968
"286",2024,"1317",24.45826,-81.84637
"287",2024,"1320",24.45983,-81.87452
"288",2024,"1321",24.4598,-81.87481
"289",2024,"1322",24.76487,-80.75495
"290",2024,"1323",24.76801,-80.75091
"291",2024,"1324",24.68633,-80.96385
"292",2024,"1325",24.68321,-80.9727
"293",2024,"1326",24.62592,-81.10754
"294",2024,"1327",24.62528,-81.10988
"295",2024,"1328",24.95006,-80.46013
"296",2024,"1329",24.95659,-80.45895
"297",2024,"1330",24.92675,-80.50402
"298",2024,"1332",24.84717,-80.62364
"299",2024,"1333",24.84936,-80.61837
"300",2024,"1334",25.22668,-80.20502
"301",2024,"1335",25.22805,-80.21551
"302",2024,"1336",25.14432,-80.26057
"303",2024,"1337",25.14147,-80.26066
"304",2024,"1338",25.03813,-80.35044
"305",2024,"1339",25.03604,-80.3497
"306",2024,"1340",25.01277,-80.37681
"307",2024,"1341",25.01255,-80.38017
"308",2024,"1342",24.55245,-81.40273
"309",2024,"1343",24.54432,-81.4103
"310",2024,"1344",24.49195,-81.66519
"311",2024,"1345",24.49128,-81.66385
"312",2024,"1346",24.48116,-81.70689
"313",2024,"1347",24.48342,-81.70089
"314",2024,"1349",24.46097,-81.84156
"315",2024,"1350",24.45452,-81.86016
"316",2024,"1351",24.45548,-81.85966
"317",2024,"1352",24.45405,-81.87558
"318",2024,"1353",24.45346,-81.87549
"319",2024,"1354",24.68186,-80.97306
"320",2024,"1355",24.62542,-81.11232
"321",2024,"1356",24.62593,-81.1119
"322",2024,"1357",24.95273,-80.45789
"323",2024,"1358",24.9532,-80.45792
"324",2024,"1359",24.92536,-80.50266
"325",2024,"1360",24.92125,-80.50452
"326",2024,"1361",24.84637,-80.62299
"327",2024,"1362",24.84981,-80.61716
"328",2024,"1363",25.22125,-80.20695
"329",2024,"1364",25.22039,-80.21117
"330",2024,"1365",25.13933,-80.25957
"331",2024,"1366",25.14108,-80.25801
"332",2024,"1367",25.10677,-80.30501
"333",2024,"1368",25.03717,-80.34653
"334",2024,"1369",25.03546,-80.34754
"335",2024,"1370",25.013,-80.37091
"336",2024,"1371",25.01343,-80.36956
"337",2024,"1372",24.95131,-80.45762
"338",2024,"1373",24.9526,-80.45609
"339",2024,"1374",24.84438,-80.62182
"340",2024,"1375",25.20423,-80.21751
"341",2024,"1376",25.21299,-80.21388
